,,,,,,,
,Variable name,Variable definition,Storage type,Data Type,Numercial Range,Number of categories,Example of categories
,recordID,Numerical identifier for the diet record.,Numeric,Continuous,1-29351,N/A,N/A
,orderCarni,The order of the mammal-consumer species the diet record is assigned.,Factor,Categorical,N/A,5,"e.g. ""Carnivora"", ""Didelphimorphia"""
,familyCarni,The family of the mammal-consumer species the diet record is assigned.,Factor,Categorical,N/A,15,"e.g. ""Canidae"", ""Felidae"""
,scientificNameCarni,The binomial name of the mammal-consumer species the diet record is assigned.,Factor,Categorical,N/A,103,"e.g. ""Canis_lupus"", ""Panthera_onca"""
,commonNameCarni,The common name of the mammal-consumer species the diet record is assigned.,Factor,Categorical,N/A,103,"e.g. ""African lion"", ""Cheetah"""
,sexCarni,The sex of the mammal-consumer species that the diet record id assigned to.,Factor,Categorical,N/A,3,"""Male"", ""Female"", ""Both"""
,lifeStageCarni,The age class of the mammal-consumer species that the diet record id assigned to.,Factor,Categorical,N/A,4,"""Adult"", ""Juvenile"", ""Unspecified"", ""Sub-adult"""
,foodType,"The broad category that the food item is from, which we believe is a sensible grouping for mammal-consumers and use of the database by researchers. ",Factor,Categorical,N/A,15,"e.g. ""Mammal"", ""Bird"", ""Reptile"", ""Anthropogenic""."
,orderPrey,"Taxonomic order, if appropriate, of the food item record. ",Factor,Categorical,N/A,60,"e.g. ""Rodentia"", ""Artiodactyla"""
,familyPrey,"Taxonomic family, if appropriate, of the food item record. ",Factor,Categorical,N/A,121,"e.g. ""Muridae"", ""Cervidae"""
,genusPrey,"Taxonomic genus, if appropriate, of the food item record. ",Factor,Categorical,N/A,472,"e.g. ""Apodemus"", ""Capreolus"""
,speciesPrey,"Species epiphet, if appropriate, of the food item record. ",Factor,Categorical,N/A,711,"e.g. ""sylvaticus"", ""capreolus"""
,scientificNamePrey,"Binomial name of food item record, if Genus and Species are known. Format, and taxonomy, follows that of Faurby (2018), other than domestic species names (i.e. Bos taurus).",Factor,Categorical,N/A,823,"e.g. ""Apodemus_sylvaticus"", ""Capreolus_capreolus"""
,commonNamePrey,Common name or general description of the food item record. This can include species-level or non species-level records which can state the undetermined species name of the common name of a higher taxon rank. Inconsistently reported and less reliable than using taxonomic data.,Factor,Categorical,N/A,1635,"e.g. ""Wood mouse"", ""Roe deer"""
,anthropogenicOrigin,Specifies if the food is reported to be of anthropogenic origin (e.g. from a domestic or agricultural source).,Numeric,Binomial,"0 (No), 1 (Yes)",N/A,NA
,taxonRankPrey,Taxonomic level the food item was reported at. The reporting of prey species can include a wide range of taxonomic ranks. ‘Other’ will include those prey items which cannot be grouped into taxon ranks. ,Factor,Categorical,N/A,10,"e.g. ""Species"", ""Genus"""
,percentage,"The percentage of the diet in which the recorded mammal species or food item makes up for the mammal-consumer, as given from the study. This value is summed into a single diet record for other food categories (e.g. birds) if multiple records occur for that other food type.",Numeric,Compositional (%),0.01 (Low) - 100 (High),N/A,N/A
