Country Name,Country Code,Series,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, adjusted gender parity index (GPIA)",UIS.NARA.AGM1.GPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, adjusted location parity index (LPIA)",UIS.NARA.AGM1.LPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, adjusted wealth parity index (WPIA)",UIS.NARA.AGM1.WPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, both sexes (%)",UIS.NARA.AGM1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, female (%)",UIS.NARA.AGM1.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, female, adjusted location parity index (LPIA)",UIS.NARA.AGM1.F.LPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, female, adjusted wealth parity index (WPIA)",UIS.NARA.AGM1.F.WPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, adjusted gender parity index (GPIA)",UIS.NARA.AGM1.Q4.GPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q4.LPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, both sexes (%)",UIS.NARA.AGM1.Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, female (%)",UIS.NARA.AGM1.Q4.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, female, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q4.F.LPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, male (%)",UIS.NARA.AGM1.Q4.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, fourth quintile, male, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q4.M.LPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, male (%)",UIS.NARA.AGM1.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, male, adjusted location parity index (LPIA)",UIS.NARA.AGM1.M.LPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, male, adjusted wealth parity index (WPIA)",UIS.NARA.AGM1.M.WPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, adjusted gender parity index (GPIA)",UIS.NARA.AGM1.Q3.GPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q3.LPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, both sexes (%)",UIS.NARA.AGM1.Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, female (%)",UIS.NARA.AGM1.Q3.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, female, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q3.F.LPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, male (%)",UIS.NARA.AGM1.Q3.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, middle quintile, male, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q3.M.LPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, adjusted gender parity index (GPIA)",UIS.NARA.AGM1.Q1.GPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, adjusted location parity index (LPIA)",UIS.NARA.AGM1.Q1.LPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Adjusted net attendance rate, one year before the official primary entry age, poorest quintile, both sexes (%)",UIS.NARA.AGM1.Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
