Position,Name,Year,URL
1,Cléo from 5 to 7,1962,https://boxd.it/2agm
2,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
3,Mustang,2015,https://boxd.it/baaw
4,Lost in Translation,2003,https://boxd.it/2b0E
5,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,https://boxd.it/T18
6,Little Women,2019,https://boxd.it/aSVk
7,The Tale,2018,https://boxd.it/cOkI
8,The Piano,1993,https://boxd.it/29Kq
9,American Psycho,2000,https://boxd.it/28Vs
10,Marie Antoinette,2006,https://boxd.it/27Wa
11,La Ciénaga,2001,https://boxd.it/kpk
12,The Farewell,2019,https://boxd.it/kIky
13,Lady Bird,2017,https://boxd.it/dGNE
14,Vagabond,1985,https://boxd.it/T0u
15,The Virgin Suicides,1999,https://boxd.it/28JG
16,Never Rarely Sometimes Always,2020,https://boxd.it/lWJk
17,Professor Marston and the Wonder Women,2017,https://boxd.it/eRPS
18,Daisies,1966,https://boxd.it/LZk
19,Mädchen in Uniform,1931,https://boxd.it/1Y8g
20,One Night in Miami...,2020,https://boxd.it/oCUo
21,Novitiate,2017,https://boxd.it/ewpa
22,The Matrix,1999,https://boxd.it/2a1m
23,Promising Young Woman,2020,https://boxd.it/loRE
24,"Je, Tu, Il, Elle",1974,https://boxd.it/3gWK
25,Summerland,2020,https://boxd.it/j1S6
26,Raw,2016,https://boxd.it/dLd2
27,The Meetings of Anna,1978,https://boxd.it/3gEG
28,Little Women,1994,https://boxd.it/1YiU
29,Mamma Mia!,2008,https://boxd.it/1Tnq
30,The Innocents,2016,https://boxd.it/cBcQ
31,The Beaches of Agnès,2008,https://boxd.it/14Y6
32,An Education,2009,https://boxd.it/1xcg
33,But I'm a Cheerleader,1999,https://boxd.it/1CW4
34,Kajillionaire,2020,https://boxd.it/jJDY
35,Unpregnant,2020,https://boxd.it/nrH2
36,Fish Tank,2009,https://boxd.it/1xBg
37,Set It Up,2018,https://boxd.it/dpik
38,Babyteeth,2019,https://boxd.it/iWDU
39,Shiva Baby,2020,https://boxd.it/oIv0
40,The Power of the Dog,2021,https://boxd.it/m99E
41,Nomadland,2020,https://boxd.it/lnRy
42,The Lost Daughter,2021,https://boxd.it/kgww
43,The Creatures,1966,https://boxd.it/xxQ
44,Clueless,1995,https://boxd.it/1Ygk
45,Fingersmith,2005,https://boxd.it/d4v8
46,The Assistant,2019,https://boxd.it/neWo
47,Monster,2003,https://boxd.it/2afy
48,One Day Pina Asked...,1983,https://boxd.it/79q6
49,You Were Never Really Here,2017,https://boxd.it/dWOS
50,The Holiday,2006,https://boxd.it/28ye
51,Frida,2002,https://boxd.it/28Vi
52,The Hurt Locker,2008,https://boxd.it/1Soi
53,The Holy Girl,2004,https://boxd.it/S12
54,The Miseducation of Cameron Post,2018,https://boxd.it/f6B2
55,Pariah,2011,https://boxd.it/2wWk
56,The Siamese Bond,2020,https://boxd.it/oF3C
57,The Proposal,2009,https://boxd.it/1HiS
58,Can You Ever Forgive Me?,2018,https://boxd.it/e7x4
59,Lovesong,2016,https://boxd.it/cSSY
60,You've Got Mail,1998,https://boxd.it/1Yye
61,Le Bonheur,1965,https://boxd.it/xyk
62,Wanda,1970,https://boxd.it/2OjK
63,The Babadook,2014,https://boxd.it/77xu
64,Mary Shelley,2017,https://boxd.it/aW9u
65,Paris Is Burning,1990,https://boxd.it/1jzg
66,Suffragette,2015,https://boxd.it/7cxY
67,Mudbound,2017,https://boxd.it/eCsu
68,Wonder Woman,2017,https://boxd.it/9roG
69,The Gleaners and I,2000,https://boxd.it/S6c
70,American Honey,2016,https://boxd.it/bk7C
71,13th,2016,https://boxd.it/elNg
72,The Iron Lady,2011,https://boxd.it/2qli
73,Bridget Jones's Diary,2001,https://boxd.it/29WQ
74,Sleepless in Seattle,1993,https://boxd.it/29re
75,The Edge of Seventeen,2016,https://boxd.it/d5nu
76,The Parent Trap,1998,https://boxd.it/1XJq
77,The Bling Ring,2013,https://boxd.it/3lPY
78,Thirteen,2003,https://boxd.it/1UPK
79,News from Home,1976,https://boxd.it/34TO
80,The German Doctor,2013,https://boxd.it/5I6Q
81,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO
82,Shirley,2020,https://boxd.it/jY2o
83,The Sleepwalkers,2019,https://boxd.it/mZOO
84,Boys Don't Cry,1999,https://boxd.it/2aPG
85,"One Sings, the Other Doesn't",1977,https://boxd.it/98s
86,Brave,2012,https://boxd.it/bVG
87,Across the Universe,2007,https://boxd.it/23X4
88,LOL,2012,https://boxd.it/2Nas
89,The Kids Are All Right,2010,https://boxd.it/13f0
90,Julie & Julia,2009,https://boxd.it/1wXg
91,Awakenings,1990,https://boxd.it/1USu
92,What Women Want,2000,https://boxd.it/24Sa
