director_id,director_gender,film_id
1,male,11860
2,male,12110
3,male,1408
4,male,524
5,male,4584
6,male,9691
7,male,16420
8,male,17015
9,male,902
10,male,37557
11,male,47018
12,male,687
13,male,31174
14,female,8391
15,male,49133
16,male,97406
17,male,11010
18,male,99040
19,female,4482
20,male,48750
21,male,46785
22,male,40154
23,male,406
24,male,45549
25,male,63076
26,female,11907
27,male,33542
28,male,71754
29,male,43612
30,male,32119
31,male,11104
32,male,73067
33,male,55475
34,male,39428
35,male,22279
36,male,30157
37,male,11780
38,male,649
39,male,1775
40,male,9886
41,male,15730
42,male,68274
43,male,48787
44,male,32646
45,female,36834
46,male,49805
47,male,22625
48,male,10531
5,male,10451
49,male,20156
50,male,397
51,male,72031
52,male,1024
53,male,49980
54,male,18183
55,male,11318
22,male,3036
56,male,8438
57,male,56428
58,male,101
59,male,41478
5,male,25296
60,female,40156
61,male,10452
62,male,12106
63,male,159185
64,male,92769
65,male,28033
66,male,14334
67,male,2636
68,male,2164
69,male,9905
70,male,36614
71,male,27993
10,male,31439
72,male,46797
73,male,236
74,male,2759
75,male,12635
48,male,10497
35,male,712
76,male,1689
77,male,52038
78,male,18242
79,male,46924
80,female,14522
3,male,9350
81,male,10997
82,male,20239
83,male,25440
84,male,13815
85,male,2087
86,male,41006
87,male,31642
88,male,10612
89,male,2259
90,male,7984
91,male,6
92,male,507
93,male,12121
94,male,5879
22,male,11971
95,male,21450
96,female,9300
97,female,713
98,male,1245
99,female,11858
2,male,8005
100,male,2088
101,male,10412
102,male,41878
103,male,103413
104,male,10445
105,male,12519
106,male,20967
107,male,10057
108,male,85247
109,male,51980
110,male,11655
111,male,8223
112,female,14587
113,male,68806
23,male,47507
114,male,25403
115,female,124304
116,male,581
117,male,261246
118,male,51242
111,male,4307
119,male,52873
53,male,38884
120,male,2021
121,male,11479
122,male,398959
123,male,12652
124,male,54285
125,male,10363
126,male,161070
71,male,18414
127,male,27098
128,male,35797
129,female,105045
130,male,29621
131,male,9103
132,male,90214
133,female,37667
134,female,90148
135,male,11876
136,male,32513
137,male,40651
138,male,36915
139,male,25697
140,male,21588
141,male,47119
142,male,16299
143,male,935
144,male,55613
83,male,41007
145,male,35645
31,male,40751
146,male,11101
147,female,26890
148,male,41225
76,male,14553
149,male,9268
115,female,123763
150,male,81949
52,male,10779
151,female,49963
152,male,31546
153,male,77056
154,male,124645
38,male,35206
153,male,4837
155,male,12632
156,male,9098
157,male,18975
158,male,31417
36,male,46986
159,male,36266
160,female,213917
161,male,11985
162,male,10232
163,male,11015
164,male,44705
119,male,26933
165,male,260
166,male,488
166,male,22733
167,male,57575
168,male,85328
146,male,890
169,male,18444
170,male,48862
11,male,47199
95,male,11159
91,male,10586
171,male,25147
172,male,43777
173,male,27256
174,male,37218
175,male,16372
176,male,623
177,male,583
178,male,12614
87,male,792
179,male,15764
180,male,102461
181,male,36998
182,male,10379
183,male,762
184,male,44497
185,male,55049
186,male,104931
187,male,18919
188,male,61461
189,male,117500
190,male,659
100,male,30892
186,male,8074
191,female,41326
12,male,10608
192,male,7452
9,male,892
193,male,1600
35,male,26561
194,male,409
90,male,10161
195,male,10409
111,male,2469
183,male,68
196,male,947
143,male,185
197,male,335
198,male,144
199,male,1092
58,male,175
200,male,11645
201,male,10835
143,male,600
22,male,10705
197,male,311
202,male,1398
203,male,387
36,male,37291
204,male,490
79,male,11235
52,male,763
205,male,18971
58,male,9322
196,male,826
148,male,422
52,male,9964
143,male,694
206,male,832
207,male,11778
208,male,4485
209,male,8428
210,male,149
135,male,11673
10,male,10404
104,male,783
98,male,11257
211,male,12104
212,male,8816
166,male,983
198,male,655
198,male,10341
213,female,41801
142,male,814
214,male,24913
215,male,13549
216,male,653
217,male,31640
218,male,7863
219,male,12709
220,female,64900
22,male,10549
221,male,58102
119,male,49935
211,male,8818
97,female,36758
154,male,36040
222,male,12145
223,male,2892
224,male,14832
225,male,55936
226,male,58911
227,female,28005
89,male,9311
228,male,884
229,male,49806
230,male,13982
86,male,77223
81,male,47694
231,male,9977
58,male,18
232,female,53023
233,male,15321
234,male,38523
235,female,45671
192,male,26422
236,male,65889
237,male,11956
186,male,266
238,male,124834
186,male,111367
24,male,8413
239,male,14585
95,male,49462
170,male,38295
203,male,9772
87,male,10155
132,male,20457
240,male,18355
5,male,68924
241,male,9427
242,male,29911
243,female,1959
69,male,8067
220,female,99002
96,female,34838
171,male,14905
244,male,61337
245,male,10215
75,male,45609
246,male,489
49,male,10217
247,male,12799
248,male,25994
249,male,27103
250,male,2666
251,male,11258
252,male,25719
31,male,11220
253,male,21253
254,male,6116
255,male,9457
17,male,2923
256,male,41577
190,male,30949
257,male,9558
74,male,6970
258,male,47452
259,male,9313
260,male,5910
261,male,9440
262,male,53092
84,male,44308
39,male,1774
263,male,70581
111,male,267
264,male,21252
265,male,9449
266,male,6264
267,male,10622
268,male,38618
269,male,18316
105,male,35796
270,male,26610
271,male,40961
272,female,312
273,male,17044
274,male,21334
275,male,47481
276,male,136134
277,male,12655
278,male,11020
279,female,35680
280,male,23383
281,male,5769
199,male,17917
282,male,9443
76,male,746
283,male,13597
206,male,19
200,male,346
4,male,11051
284,male,9769
285,male,37969
286,male,9631
180,male,98505
196,male,907
204,male,5961
287,female,26648
288,male,13155
289,male,19158
17,male,9314
290,male,8688
291,male,23954
204,male,12761
292,male,11837
283,male,11639
293,male,11976
294,male,115872
295,female,19381
165,male,573
165,male,1978
296,male,54795
297,male,46748
298,male,14577
299,male,37498
300,male,38621
165,male,4175
165,male,31995
165,male,940
165,male,2762
165,male,12684
165,male,2761
165,male,8208
165,male,15007
165,male,36049
165,male,52748
165,male,75793
165,male,47695
165,male,31930
165,male,20213
165,male,543
165,male,36054
165,male,52782
165,male,36056
165,male,2760
301,male,69848
302,male,122289
98,male,72987
303,male,8195
304,male,26618
305,male,21132
76,male,24016
306,male,14785
307,male,14794
308,male,3486
176,male,43106
309,male,4975
310,male,1039
311,male,1955
312,male,9445
313,male,637
314,male,8675
315,male,3033
44,male,1808
47,male,5332
316,male,21589
317,male,11893
148,male,19426
318,male,666
319,male,309
320,male,11532
321,male,11954
322,male,27104
323,male,24951
320,male,16885
324,male,76857
325,male,8741
326,male,10368
72,male,11365
327,male,46992
328,male,22913
329,male,9423
330,male,192
331,female,6187
53,male,8129
332,male,1618
333,male,11167
146,male,9524
334,male,16306
335,male,26425
336,male,100
180,male,77936
337,male,10350
338,male,11772
228,male,9540
339,male,11773
340,male,30202
341,male,1567
60,female,10212
342,female,11526
343,male,125123
344,male,28029
345,male,65749
346,male,30950
347,male,11660
299,male,18764
348,male,1414
349,male,10209
313,male,22826
350,male,1902
35,male,12596
228,male,1946
351,male,42230
18,male,139445
352,male,1844
353,male,24584
354,male,28519
355,male,13852
356,male,25232
357,female,33194
358,male,10210
359,male,17962
76,male,44297
360,male,8785
8,male,509
361,male,24858
46,male,15059
362,female,55912
198,male,11779
106,male,14283
363,male,2275
7,male,24137
364,male,104
365,male,13821
366,male,9421
367,male,55955
368,male,78568
282,male,48958
143,male,345
3,male,8914
143,male,802
143,male,3175
369,male,3934
222,male,41166
370,male,16406
371,male,91076
372,male,89861
119,male,102489
373,female,18212
374,female,13817
375,male,48781
376,male,29030
376,male,25319
377,male,24103
378,male,9267
43,male,9406
379,female,39780
71,male,10154
103,male,30964
109,male,52366
380,male,6373
381,female,40694
382,male,40879
383,male,47697
384,male,9453
385,male,35122
386,female,142132
320,male,11527
352,male,1049
387,male,28032
388,male,11326
86,male,10398
389,male,2290
390,male,62994
391,male,32305
392,male,15198
393,male,10381
148,male,5622
200,male,11712
390,male,13824
394,male,69851
278,male,11541
395,male,2457
76,male,8416
196,male,851
291,male,2593
396,male,48797
397,male,2731
398,male,550
399,male,1610
183,male,36819
20,male,42726
400,male,9343
10,male,42006
401,male,10563
402,male,108346
403,male,128
400,male,8672
404,male,8056
405,male,16129
406,male,11489
326,male,25560
200,male,11878
330,male,62204
22,male,11790
407,male,276635
58,male,10047
49,male,47692
111,male,4203
48,male,11481
14,female,10399
408,male,2668
111,male,99
409,male,77010
188,male,5156
200,male,11953
410,male,44662
98,male,26371
46,male,125520
411,male,5486
97,female,13787
412,male,777
413,male,42739
414,male,1439
415,male,2277
81,male,10387
95,male,46435
136,male,26578
175,male,43103
416,male,43194
211,male,10397
417,female,12524
418,male,3558
419,male,10384
400,male,11900
420,male,10493
421,male,16241
411,male,27632
222,male,35119
422,male,75641
423,male,17343
192,male,10831
424,male,21193
192,male,33078
425,male,16672
426,male,53714
427,male,21489
428,male,110479
74,male,18681
429,male,46835
430,male,32015
98,male,8293
201,male,11782
431,male,10086
432,male,106837
69,male,1907
433,male,68546
10,male,36210
53,male,62463
434,female,10385
435,male,127602
436,male,11004
437,male,139
105,male,19958
438,male,54575
439,male,54195
440,male,139058
441,male,72086
48,male,622
397,male,28463
442,male,22650
190,male,48213
443,male,58048
283,male,14900
83,male,123047
444,male,24575
445,male,10971
446,male,31336
330,male,2383
202,male,1396
447,male,54825
274,male,17078
388,male,33516
448,male,9960
200,male,9764
449,male,24212
450,male,32613
451,male,31624
136,male,118098
211,male,11327
202,male,593
452,female,49721
198,male,46625
453,male,48211
454,male,28975
217,male,11027
455,male,61560
456,male,27197
457,male,27745
458,male,11654
459,male,3536
94,male,49096
253,male,19600
293,male,98
334,male,22501
460,male,21484
192,male,11332
461,male,29372
411,male,5483
61,male,31353
232,female,44018
462,male,28973
232,female,499
463,male,38006
294,male,42002
464,male,40365
465,male,24920
466,male,10102
467,male,38688
326,male,6003
334,male,22500
468,male,38921
469,male,35463
22,male,51333
326,male,10264
244,male,9040
470,male,643
471,male,31023
472,female,25636
473,male,41160
185,male,47439
447,male,7443
68,male,2024
474,male,17711
