genres,id,original_language,original_title,overview,popularity,production_countries,runtime,spoken_languages,title,vote_average,vote_count,year,director
"Drama, Romance",8391,English,When Night Is Falling,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",3.302524,Canada,96.0,1,When Night Is Falling,5.9,10.0,1995,Patricia Rozema
"Comedy, Romance",4482,French,Gazon maudit,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",2.518051,France,95.0,2,French Twist,6.0,43.0,1995,Josiane Balasko
"Comedy, Drama, Family",11907,German,Keiner liebt mich,No overview found.,1.015068,Germany,104.0,1,Nobody Loves Me,5.1,5.0,1994,Doris Dörrie
"Drama, Romance",36834,English,Total Eclipse,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",4.546552,"France, United Kingdom, Belgium",111.0,1,Total Eclipse,6.5,112.0,1995,Agnieszka Holland
"Drama, Romance",40156,English,Priest,"Father Greg Pilkington (Linus Roache) is torn between his call as a conservative Catholic priest and his secret life as a homosexual with a gay lover, frowned upon by the Church. Upon hearing the confession of a young girl of her incestuous father, Greg enters an intensely emotional spiritual struggle deciding between choosing morals over religion and one life over another.",1.881932,United Kingdom,98.0,1,Priest,6.4,32.0,1994,Antonia Bird
"Action, Drama, Adventure, Family",14522,English,Black Beauty,"The fates of horses, and the people who own and command them, are revealed as Black Beauty narrates the circle of his life.",8.398845,"United Kingdom, United States of America",88.0,1,Black Beauty,6.6,68.0,1994,Caroline Thompson
"Drama, Romance, Fantasy",9300,English,Orlando,"In 1600, nobleman Orlando inherits his parents' house, thanks to Queen Elizabeth I, who commands the young man to never change. After a disastrous affair with Russian princess Sasha, Orlando looks for solace in the arts before being appointed ambassador to Constantinople in 1700, where war is raging. One morning, Orlando is shocked to wake up as a woman and returns home, struggling as a female to retain her property as the centuries roll by.",3.800785,"France, United Kingdom, Italy, Russia, Netherlands",93.0,1,Orlando,6.7,53.0,1992,Sally Potter
"Drama, Romance",713,English,The Piano,"After a long voyage from Scotland, pianist Ada McGrath and her young daughter, Flora, are left with all their belongings, including a piano, on a New Zealand beach. Ada, who has been mute since childhood, has been sold into marriage to a local man named Alisdair Stewart. Making little attempt to warm up to Alisdair, Ada soon becomes intrigued by his Maori-friendly acquaintance, George Baines, leading to tense, life-altering conflicts.",7.436758,"France, New Zealand, Australia",121.0,2,The Piano,7.1,290.0,1993,Jane Campion
"Comedy, War",11858,English,Renaissance Man,"Danny DeVito plays an advertising man who is slowly sliding downhill. When he is fired from his job in Detroit, he signs up for unemployment. One day they find him a job; Teaching thinking skills to Army recruits. He arrives on base to find that there is no structure set up for the class.",4.985157,"United States of America, Canada",128.0,2,Renaissance Man,5.9,83.0,1994,Penny Marshall
"Comedy, Drama",14587,English,Bhaji on the Beach,"A group of women of Indian descent take a trip together from their home in Birmingham, England to the beach resort of Blackpool.",0.441585,United Kingdom,100.0,2,Bhaji on the Beach,5.1,10.0,1994,Gurinder Chadha
"Drama, Romance",124304,English,De eso no se habla,"Leonor, a widow in a small South American town, gives birth to Charlotte, a dwarf. The mother not only provides a rich childhood for her daughter, she erases any clues her daughter might see that would lead her to think she is different (mother burns books such as ""Snow White"" and destroys lawn statues of gnomes). In short, she doesn't want to talk about it. The mother succeeds in creating a modern-day Rapunzel: Charlotte becomes an accomplished young woman who captures the heart of Ludovico. But then, the circus comes to town.",1.213481,"Italy, Argentina",106.0,0,I Don't Want to Talk About It,6.0,1.0,1993,María Luisa Bemberg
"Drama, Romance",105045,German,Das Versprechen,"East-Berlin, 1961, shortly after the erection of the Wall. Konrad, Sophie and three of their friends plan a daring escape to Western Germany. The attempt is successful, except for Konrad, who remains behind. From then on, and for the next 28 years, Konrad and Sophie will attempt to meet again, in spite of the Iron Curtain. Konrad, who has become a reputed Astrophysicist, tries to take advantage of scientific congresses outside Eastern Germany to arrange encounters with Sophie. But in a country where the political police, the Stasi, monitors the moves of all suspicious people (such as Konrad's sister Barbara and her husband Harald), preserving one's privacy, ideals and self-respect becomes an exhausting fight, even as the Eastern block begins its long process of disintegration.",0.122178,Germany,115.0,1,The Promise,5.0,1.0,1995,Margarethe von Trotta
"Drama, Romance, Thriller, Mystery",37667,English,Captives,"A beautiful young dentist working in a tough British prison starts to become attracted to a violent inmate after the break-up of her marriage, and embarks upon an illicit affair with him, with terrible consequences for all.",1.926109,"United Kingdom, United States of America",100.0,1,Captives,6.0,10.0,1994,Angela Pope
Drama,90148,English,Of Love and Shadows,"Irene is a magazine editor living under the shadow of the Pinochet dictatorship in Chile. Francisco is a handsome photographer and he comes to Irene for a job. As a sympathizer with the underground resistance movement, Francisco opens her eyes and her heart to the atrocities being committed by the state.",0.709209,"United States of America, Argentina",103.0,2,Of Love and Shadows,4.4,11.0,1994,Betty Kaplan
Drama,26890,English,I Shot Andy Warhol,"Based on the true story of Valerie Solanas who was a 60s radical preaching hatred toward men in her ""Scum"" manifesto. She wrote a screenplay for a film that she wanted Andy Warhol to produce, but he continued to ignore her. So she shot him. This is Valerie's story.",2.771201,"United Kingdom, United States of America",103.0,1,I Shot Andy Warhol,6.1,32.0,1996,Mary Harron
"Drama, Foreign",123763,Spanish,"Yo, la peor de todas","A viceroy and an archbishop take their posts in Mexico. A local nun, Sor Juana Inés de la Cruz (1651-1695), intrigues them. The viceroy and his wife find her brilliant and fascinating. The prelate finds her a symbol of European laxity. He engineers the election of a new abbess, severe and ascetic. The virreina visits Sor Juana often and inspires her to write passionate poetry that the archbishop finds scandalous. The viceroy protects her. After he is replaced and returns to Spain with his wife, Sor Juana faces envy and retribution. A bishop betrays her, her confessor humbles her. Plague, a tribunal, and her confession as ""the worst of all"" end the great poet's life.",0.202495,Argentina,105.0,1,"I, the Worst of All",6.8,3.0,1990,María Luisa Bemberg
"Comedy, Drama, Romance",49963,English,Walking and Talking,"Things have been tough lately for Amelia. Her best friend moved out of the apartment, her cat got cancer, and now her best friend, Laura, is getting married. She copes with things, from the help of Andrew, Frank, Laura, and a brief romance with Bill ""The Ugly Guy"".",0.913281,"Germany, United Kingdom, United States of America",86.0,1,Walking and Talking,6.6,8.0,1996,Nicole Holofcener
