Position,Name,Year,URL,Description
1,Somersault,2004,https://boxd.it/1JUY,
2,M.F.A.,2017,https://boxd.it/fzqC,
3,From the East,1993,https://boxd.it/3ywU,
4,Ascent,2016,https://boxd.it/epeu,
5,Looping,2016,https://boxd.it/dKUE,
6,From a Whisper,2008,https://boxd.it/bOB8,
7,Love Is the Beginning of All Terror,1984,https://boxd.it/806S,
8,A Journey of a Thousand Miles: Peacekeepers,2015,https://boxd.it/camE,
9,Yelling To The Sky,2011,https://boxd.it/4K1Q,
10,Andy Colby’s Incredibly Awesome Adventure,1988,https://boxd.it/386Q,
11,The Long Silence,1993,https://boxd.it/ba0Q,
12,The Hairdresser,2010,https://boxd.it/Xg2,
13,Three Wishes,1995,https://boxd.it/JvM,
14,The Last Cowboy,2003,https://boxd.it/u7U,
15,Madame Bovary,2014,https://boxd.it/7qrq,
16,The Third Miracle,1999,https://boxd.it/19R0,
17,Pariah,2011,https://boxd.it/2wWk,
18,Seduction: The Cruel Woman,1985,https://boxd.it/XRM,
19,Her Story,2016,https://boxd.it/dprQ,
20,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,
21,The Invitation,2015,https://boxd.it/9OUU,
22,XX,2017,https://boxd.it/9pU6,
23,Daisies,1966,https://boxd.it/LZk,
24,My Life Without Me,2003,https://boxd.it/710,
25,Shanghai Noir,2015,https://boxd.it/aRVI,
26,Rough Night,2017,https://boxd.it/dV0W,
27,The Fits,2015,https://boxd.it/cacO,
28,The Act of Killing,2012,https://boxd.it/44Cg,
29,Cadillac Ranch,1996,https://boxd.it/8AlY,
30,The Double Life,2010,https://boxd.it/7VHY,
31,Hyouka: Forbidden Secrets,2017,https://boxd.it/fxKU,
32,Axolotl Overkill,2017,https://boxd.it/f7FO,
33,Wexford Plaza,2016,https://boxd.it/faom,
34,Baise-moi,2000,https://boxd.it/25Fc,
35,In the Battlefields,2004,https://boxd.it/485A,
36,The Truth About Women,1957,https://boxd.it/8FXI,
37,Behind the Camera: The Unauthorized Story of Charlie's Angels,2004,https://boxd.it/PF4,
38,Bareilly Ki Barfi,2017,https://boxd.it/gJbY,
39,Fabulous! The Story of Queer Cinema,2006,https://boxd.it/1sDQ,
40,Clip,2012,https://boxd.it/3k6e,
41,The Watermelon Woman,1996,https://boxd.it/RRc,
42,Baden Baden,2016,https://boxd.it/bkAa,
43,God's Offices,2008,https://boxd.it/1ZDa,
44,Obvious Child,2014,https://boxd.it/7i3A,
45,Virtual Love,1993,https://boxd.it/f07K,
46,Seeing Is Believing,1992,https://boxd.it/fi6A,
47,Longshot,1989,https://boxd.it/fi66,
48,An American Girl: Chrissa Stands Strong,2009,https://boxd.it/1Hqi,
49,The Guest,1971,https://boxd.it/bRTk,
50,Old Boyfriends,1979,https://boxd.it/3Xwq,
51,Erotique,1994,https://boxd.it/MHc,
52,Islands,1987,https://boxd.it/6o0U,
53,The Pretty One,2013,https://boxd.it/5mfm,
54,Haruko's Paranormal Laboratory,2015,https://boxd.it/aejU,
55,Let the Sunshine In,2017,https://boxd.it/fhr8,
56,Before the Sun Explodes,2016,https://boxd.it/dg3g,
57,Me and You and Everyone We Know,2005,https://boxd.it/28RK,
58,Bliss,2012,https://boxd.it/4gLa,
59,Paradise,1986,https://boxd.it/fZaU,
60,99€ Films,2001,https://boxd.it/2wcw,
61,The Spicy Sisters Slumber Party,2004,https://boxd.it/1pHU,
62,Deprogrammed,2015,https://boxd.it/b3YE,
63,Kakera: A Piece of Our Life,2009,https://boxd.it/boW,
64,The Adolescent,1979,https://boxd.it/6H4c,
65,Hot Dog,2002,https://boxd.it/5Rus,
66,A Bun in the Oven,2016,https://boxd.it/eIDo,
67,Happy Landing,2015,https://boxd.it/dIG6,
68,Humpday,2009,https://boxd.it/1ySC,
69,6 Years,2015,https://boxd.it/awpm,
70,I Have To Buy New Shoes,2012,https://boxd.it/4xLQ,
71,A Soap,2006,https://boxd.it/1LoA,
72,Gigi,1949,https://boxd.it/44Ny,
73,The Year of Spectacular Men,2017,https://boxd.it/fnr4,
74,The Dumb Girl of Portici,1916,https://boxd.it/4r2K,
75,Big Girls Don't Cry... They Get Even,1991,https://boxd.it/LRg,
76,She's Beautiful When She's Angry,2014,https://boxd.it/85TK,
77,Palo Alto,2013,https://boxd.it/5Nzy,
78,Raw,2016,https://boxd.it/dLd2,
79,Frame by Frame,2015,https://boxd.it/axju,
80,Embrace,2016,https://boxd.it/e6vw,
81,Il était une fois... Mommy,2017,https://boxd.it/gljY,
82,The Meddler,2015,https://boxd.it/bb40,
83,Dreamcatcher,2015,https://boxd.it/ahKY,
84,Motherland,2017,https://boxd.it/fmvk,
85,On the Streets,2010,https://boxd.it/6iS2,
86,Miss Stevens,2016,https://boxd.it/bBq2,
87,Traps,1998,https://boxd.it/EJu,
88,Female Pervert,2015,https://boxd.it/an1A,
89,Seeing Red: Stories of American Communists,1983,https://boxd.it/4nY6,
90,Mr. Roosevelt,2017,https://boxd.it/f1hc,
91,A Man in Love,1987,https://boxd.it/2OsW,
92,Close-Knit,2017,https://boxd.it/fbPS,
93,One Million Yen Girl,2008,https://boxd.it/2h5K,
94,Beyond Good and Evil,1977,https://boxd.it/2SUq,
95,Girlhood,2003,https://boxd.it/AK4,
96,Nora Roberts' Tribute,2009,https://boxd.it/UPe,
97,Electrick Children,2012,https://boxd.it/39sy,
98,Marie Antoinette,2006,https://boxd.it/27Wa,
99,Welcome to Me,2014,https://boxd.it/8NUs,
100,Treeless Mountain,2008,https://boxd.it/1viQ,
101,I Believe in Unicorns,2014,https://boxd.it/7qGA,
102,Fruit Punch,1991,https://boxd.it/7xZa,
103,Passerby #3,2010,https://boxd.it/2CfG,
104,Fort Tilden,2014,https://boxd.it/7qGg,
105,Coin Heist,2017,https://boxd.it/fd4u,
106,A Fish in the Bathtub,1998,https://boxd.it/3xCs,
107,Edge,2010,https://boxd.it/3JHu,
108,Awakenings,1990,https://boxd.it/1USu,
109,Home from Home,2009,https://boxd.it/2DRc,
110,Olive Kitteridge,2014,https://boxd.it/91Yy,
111,Look Who's Talking,1989,https://boxd.it/1YxA,
112,Look Who's Talking Too,1990,https://boxd.it/1YTc,
113,Mamma Mia!,2008,https://boxd.it/1Tnq,
114,On a Clear Day,2005,https://boxd.it/16co,
115,Ain't No Tomorrows,2008,https://boxd.it/2zvc,
116,Saving Face,2004,https://boxd.it/1Fj0,
117,The Wild Chicks,2006,https://boxd.it/21cK,
118,Hot Pursuit,2015,https://boxd.it/83Vu,
119,Carrie Pilby,2016,https://boxd.it/agWu,
120,Night and Fog,2009,https://boxd.it/D96,
121,Guinevere,1999,https://boxd.it/eK2,
122,Valley Girl,1983,https://boxd.it/1FNa,
123,My Sucky Teen Romance,2011,https://boxd.it/2Ype,
124,Nahid,2015,https://boxd.it/b6SY,
125,LelleBelle,2010,https://boxd.it/2jwS,
126,Red Persimmons,2001,https://boxd.it/6eu6,
127,Snow,2008,https://boxd.it/49rW,
128,Never Forever,2007,https://boxd.it/1GOe,
129,Gone Is the One Who Held Me the Dearest in the World,2002,https://boxd.it/dLXk,
130,American Splendor,2003,https://boxd.it/26kE,
131,The Woods Dreams Are Made of,2015,https://boxd.it/da3k,
132,Glasses,2007,https://boxd.it/1vnw,
133,Moonlight & Mistletoe,2008,https://boxd.it/Bp2,
134,Lea to the Rescue,2016,https://boxd.it/e1sC,
135,Second Class Citizens,2001,https://boxd.it/4JUU,
136,Adult Life Skills,2016,https://boxd.it/dDMI,
137,Waitress,2007,https://boxd.it/1Vt6,
138,Africa United,2010,https://boxd.it/mOw,
139,Walking and Talking,1996,https://boxd.it/ELq,
140,Committed,2000,https://boxd.it/11tY,
141,Requirements to Be a Normal Person,2015,https://boxd.it/aRV4,
142,Marseille,2004,https://boxd.it/4Qau,
143,Ala Modalaindi,2011,https://boxd.it/nHG,
144,The Kid & I,2005,https://boxd.it/4OI,
145,Yeast,2008,https://boxd.it/37bq,
146,A Tale of Three Cities,2015,https://boxd.it/c8Au,
147,Where Are You? I’m Here,1993,https://boxd.it/67Kc,
148,My Year Without Sex,2009,https://boxd.it/1ywQ,
149,Yosemite,2015,https://boxd.it/99pQ,
150,Once Upon a Time,1981,https://boxd.it/dwgq,
151,Sky Captain,1985,https://boxd.it/2L0A,
152,The Savages,2007,https://boxd.it/20ra,
153,Beyond Dreams,2017,https://boxd.it/fz7q,
154,Dear Frankie,2004,https://boxd.it/1Zs2,
155,The Long Excuse,2016,https://boxd.it/dGUg,
156,The 24 Hour Woman,1999,https://boxd.it/472g,
157,0.5 mm,2014,https://boxd.it/8x6c,
158,Care,2000,https://boxd.it/dTMY,
159,The Men's Room,1991,https://boxd.it/dYEg,
160,Barrage,2017,https://boxd.it/f8e0,
161,An Education,2009,https://boxd.it/1xcg,
162,Hannah Arendt,2012,https://boxd.it/41I6,
163,Leaving,2009,https://boxd.it/U1e,
164,XXY,2007,https://boxd.it/1Uwe,
165,Italian for Beginners,2000,https://boxd.it/2b76,
166,Riding the Bus with My Sister,2005,https://boxd.it/9ss,
167,"The Farm: Angola, USA",1998,https://boxd.it/3NaO,
168,Grbavica: The Land of My Dreams,2006,https://boxd.it/2aBu,
169,The Preacher's Wife,1996,https://boxd.it/1BK2,
170,Zona Norte,2016,https://boxd.it/dobs,
171,A United Kingdom,2016,https://boxd.it/bDFy,
172,L'Hypothèse du Mokélé M'Bembé,2012,https://boxd.it/4EI0,
173,The Poker House,2008,https://boxd.it/9di,
174,Am I Beautiful?,1998,https://boxd.it/203s,
175,My Reincarnation,2011,https://boxd.it/2Cfw,
176,Shoot the Messenger,2006,https://boxd.it/8wHc,
177,"Gulîstan, Land of Roses",2016,https://boxd.it/eoey,
178,The Last Women Standing,2015,https://boxd.it/cK9m,
179,Shara,2003,https://boxd.it/1aUO,
180,Beirut: The Last Home Movie,1987,https://boxd.it/4k4E,
181,Your Sister's Sister,2011,https://boxd.it/2Y04,
182,Lost Persons Area,2009,https://boxd.it/4xCa,
183,Panelstory or Birth of a Community,1981,https://boxd.it/5ysM,
184,The Dressmaker,2015,https://boxd.it/9sZy,
185,9×10 Ninety,2014,https://boxd.it/a8mo,
186,"Fly, Penguin",2009,https://boxd.it/eDkG,
187,Running from Crazy,2013,https://boxd.it/4YuC,
188,Imagine,1972,https://boxd.it/3deq,
189,Sense8: Happy F*cking New Year,2016,https://boxd.it/rP4w,
190,Girl Asleep,2015,https://boxd.it/cAG6,
191,Ishtar,1987,https://boxd.it/1Rny,
192,Being Good,2015,https://boxd.it/aNv2,
193,Against Oblivion,1991,https://boxd.it/GPE,
194,The Luzhin Defence,2000,https://boxd.it/yru,
195,Floating Life,1996,https://boxd.it/5WKg,
196,Frozen River,2008,https://boxd.it/1WSQ,
197,Jane B. by Agnès V.,1988,https://boxd.it/xxw,
198,In Bloom,2013,https://boxd.it/5pxS,
199,36 Fillette,1988,https://boxd.it/2aky,
200,Kajraare,2010,https://boxd.it/3TXM,
201,Across the Moon,1995,https://boxd.it/6oYU,
202,River of Grass,1994,https://boxd.it/3orq,
203,Cereal Killers 2 - Run on Fat,2015,https://boxd.it/aGNy,
204,Desert Hearts,1985,https://boxd.it/2aFc,
205,A Case of You,2013,https://boxd.it/5mhs,
206,Dildo Heaven,2002,https://boxd.it/97LK,
207,Agnès Varda: From Here to There,2011,https://boxd.it/6AG4,
208,Permanent,2017,https://boxd.it/g3rA,
209,This Is My Life,1992,https://boxd.it/YyG,
210,The Good Fight: The Abraham Lincoln Brigade in the Spanish Civil War,1984,https://boxd.it/5eZ2,
211,Grease 2,1982,https://boxd.it/1Zk8,
212,There's Something Wrong with Aunt Diane,2011,https://boxd.it/2sva,
213,The Season of Men,2000,https://boxd.it/7VOK,
214,Joan of Arc of Mongolia,1989,https://boxd.it/3YZy,
215,Art and Craft,2014,https://boxd.it/7WdU,
216,The Bridges of Sarajevo,2014,https://boxd.it/8MGY,
217,The Sisterhood of the Traveling Pants 2,2008,https://boxd.it/1WS2,
218,A Crush on You,2011,https://boxd.it/5D04,
219,On a Moonlit Night,1989,https://boxd.it/6ia,
220,Down There,2006,https://boxd.it/6VoU,
221,The Beaches of Agnès,2008,https://boxd.it/14Y6,
222,Water & Power: A California Heist,2017,https://boxd.it/fgYq,
223,Somewhere Only We Know,2015,https://boxd.it/9OAU,
224,Blindsight - Vertraue Deiner Vision,2006,https://boxd.it/24LS,
225,Now and Then,1995,https://boxd.it/1Z7I,
226,Nothing Left Unsaid: Gloria Vanderbilt & Anderson Cooper,2016,https://boxd.it/d5tW,
227,Pray the Devil Back to Hell,2008,https://boxd.it/18aE,
228,Wadjda,2012,https://boxd.it/4drw,
229,Swept Away,1974,https://boxd.it/17cY,
230,Sati,1989,https://boxd.it/bPMG,
231,Tomboy,2011,https://boxd.it/49U,
232,The Art of Loving: Story of Michalina Wislocka,2017,https://boxd.it/fjSA,
233,Spielberg,2017,https://boxd.it/gIXC,
234,Filthy,2017,https://boxd.it/fqTK,
235,Alex,1993,https://boxd.it/7aCi,
236,Twelve Chairs,2004,https://boxd.it/8j6C,
237,Starhops,1978,https://boxd.it/7mGQ,
238,Rikky and Pete,1988,https://boxd.it/2Dv6,
239,Renaissance Man,1994,https://boxd.it/1SV2,
240,Falling,2006,https://boxd.it/2Ksy,
241,Pure Luck,1991,https://boxd.it/1FM2,
242,Robert Frost: A Lover's Quarrel with the World,1963,https://boxd.it/3P4S,
243,Six Strong Guys,2004,https://boxd.it/1r2a,
