,genres,ID,title,vote_average,vote_count,releasedate,director_gender,prod_countries
0,"Comedy, Romance",11860,Sabrina,6.2,141.0,1995,male,Germany
1,"Comedy, Horror",12110,Dracula: Dead and Loving It,5.7,210.0,1995,male,France
2,"Action, Adventure",1408,Cutthroat Island,5.7,137.0,1995,male,France
3,"Drama, Crime",524,Casino,7.8,1343.0,1995,male,France
4,"Drama, Romance",4584,Sense and Sensibility,7.2,364.0,1995,male,United Kingdom
5,"Action, Crime, Adventure, Thriller",9691,Assassins,6.0,394.0,1995,male,France
6,Drama,16420,Othello,7.0,33.0,1995,male,Italy
7,"Drama, Romance",17015,Persuasion,7.4,36.0,1995,male,United Kingdom
8,"Adventure, Fantasy, Science Fiction",902,The City of Lost Children,7.6,308.0,1995,male,France
9,"Drama, Crime",37557,Shanghai Triad,6.5,17.0,1995,male,China
10,"Drama, Romance, History",47018,Carrington,6.4,16.0,1995,male,France
11,Drama,687,Dead Man Walking,7.3,350.0,1995,male,United States of America
12,"Drama, War",31174,Richard III,6.9,50.0,1995,male,United Kingdom
13,"Drama, Romance",8391,When Night Is Falling,5.9,10.0,1995,female,Canada
14,"Drama, Foreign",49133,Lamerica,7.7,11.0,1994,male,Italy
15,Drama,97406,Georgia,6.1,15.0,1995,male,France
16,"Comedy, Drama, Romance",11010,The Postman,7.6,181.0,1994,male,Belgium
17,"Drama, Thriller, Mystery",99040,The Confessional,6.5,2.0,1995,male,Canada
18,"Comedy, Romance",4482,French Twist,6.0,43.0,1995,female,France
19,"Drama, History",48750,Les Miserables,6.6,8.0,1995,male,France
20,"Drama, Family",46785,The White Balloon,7.5,20.0,1995,male,Iran
21,Comedy,40154,A Midwinter's Tale,7.5,6.0,1995,male,United Kingdom
22,Drama,406,La Haine,7.9,695.0,1995,male,France
23,"Action, Drama, Adventure, Thriller, Science Fiction",45549,Shopping,5.6,13.0,1994,male,United Kingdom
24,Documentary,63076,Heidi Fleiss: Hollywood Madam,6.8,4.0,1995,male,United Kingdom
25,"Comedy, Drama, Family",11907,Nobody Loves Me,5.1,5.0,1994,female,Germany
26,"Comedy, Action, Crime, Thriller",33542,Rumble in the Bronx,6.5,245.0,1995,male,Hong Kong
27,Drama,71754,Margaret's Museum,7.5,2.0,1995,male,Canada
28,Comedy,43612,Happiness Is in the Field,7.0,23.0,1995,male,France
29,Drama,32119,The Boys of St. Vincent,7.0,7.0,1992,male,Canada
30,"Comedy, Drama, Romance",11104,Chungking Express,7.9,249.0,1994,male,Hong Kong
31,"Drama, Romance, War",73067,Frankie Starlight,5.4,4.0,1995,male,United Kingdom
32,"Comedy, Drama, Romance",55475,Nueba Yol,5.5,1.0,1995,male,Dominican Republic
33,Drama,39428,The Neon Bible,7.2,5.0,1995,male,United Kingdom
34,"Comedy, Drama, Romance",22279,An Awfully Big Adventure,6.0,11.0,1995,male,United Kingdom
35,"Comedy, Drama, Crime, Thriller",30157,Amateur,6.5,21.0,1994,male,France
36,Adventure,11780,Rob Roy,6.5,151.0,1995,male,United Kingdom
37,"Drama, Romance",649,Belle de Jour,7.3,163.0,1967,male,France
38,"Comedy, Action",1775,Canadian Bacon,5.9,57.0,1995,male,Canada
39,"Action, Drama, Adventure, Thriller, Science Fiction",9886,Johnny Mnemonic,5.5,380.0,1995,male,Canada
40,"Comedy, Drama",15730,Love & Human Remains,7.0,7.0,1993,male,Canada
41,"Comedy, Drama, Romance",68274,Moonlight and Valentino,5.6,10.0,1995,male,United Kingdom
42,"Thriller, Foreign",48787,Mute Witness,6.4,36.0,1995,male,Germany
43,Drama,32646,Safe,7.2,62.0,1995,male,United Kingdom
44,"Drama, Romance",36834,Total Eclipse,6.5,112.0,1995,female,France
45,Drama,49805,The Browning Version,6.0,11.0,1994,male,United Kingdom
46,"Drama, Romance, Family",22625,Circle of Friends,6.5,30.0,1995,male,Ireland
47,"Drama, Thriller, Mystery",10531,Death and the Maiden,7.1,92.0,1994,male,United States of America
48,"Comedy, Drama, Romance",10451,Eat Drink Man Woman,7.5,76.0,1994,male,Taiwan
49,"Drama, Mystery",20156,Exotica,6.5,64.0,1994,male,Canada
50,"Comedy, Romance",397,French Kiss,6.2,179.0,1995,male,United Kingdom
51,"Action, Drama, Crime, Thriller",72031,The Glass Shield,5.4,9.0,1994,male,United States of America
52,"Drama, Fantasy",1024,Heavenly Creatures,6.9,299.0,1994,male,New Zealand
53,Drama,49980,Ladybird Ladybird,7.4,14.0,1994,male,United Kingdom
54,"Drama, Romance",18183,Like Water for Chocolate,6.6,70.0,1992,male,Mexico
55,"Comedy, Drama, History",11318,The Madness of King George,6.7,67.0,1994,male,United Kingdom
56,"Drama, Romance, Science Fiction, Horror",3036,Mary Shelley's Frankenstein,6.1,272.0,1994,male,United Kingdom
57,"Drama, Crime",8438,Murder in the First,6.9,140.0,1995,male,France
58,Horror,56428,Beyond Bedlam,4.0,4.0,1994,male,United Kingdom
59,"Drama, Crime, Thriller",101,Leon: The Professional,8.2,4293.0,1994,male,France
60,Drama,41478,Panther,6.4,6.0,1995,male,United Kingdom
61,"Comedy, Drama",25296,Pushing Hands,6.1,9.0,1992,male,Taiwan
62,"Drama, Romance",40156,Priest,6.4,32.0,1994,female,United Kingdom
63,"Drama, History",10452,Queen Margot,7.0,67.0,1994,male,France
64,"Action, Western",12106,The Quick and the Dead,6.2,431.0,1995,male,Japan
65,Drama,159185,"Red Firecracker, Green Firecracker",7.0,2.0,1994,male,China
66,"Drama, Horror",92769,Relative Fear,4.7,3.0,1995,male,Canada
67,"Comedy, Drama",28033,Stuart Saves His Family,5.0,6.0,1995,male,Germany
68,"Drama, Fantasy, Family",14334,The Secret of Roan Inish,6.1,15.0,1994,male,Ireland
69,"Action, Thriller",2636,The Specialist,5.5,317.0,1994,male,Peru
70,"Action, Adventure, Science Fiction",2164,Stargate,6.8,942.0,1994,male,France
71,"Crime, Thriller",9905,Shallow Grave,7.0,247.0,1994,male,United Kingdom
72,"Comedy, Drama, Romance",36614,The Sum of Us,6.0,21.0,1994,male,Australia
73,Comedy,27993,Senior Trip,5.7,23.0,1995,male,Canada
74,"Drama, Romance, War",31439,To Live,7.7,62.0,1994,male,China
75,"Drama, Romance",46797,Tom & Viv,5.8,8.0,1994,male,United Kingdom
76,"Comedy, Drama, Romance",236,Muriel's Wedding,6.9,104.0,1994,male,Australia
77,"Comedy, Drama",2759,"The Adventures of Priscilla, Queen of the Desert",7.2,174.0,1994,male,Australia
78,"Drama, Music",12635,Backbeat,6.2,37.0,1994,male,Germany
79,"Drama, Romance, Thriller",10497,Bitter Moon,7.0,115.0,1992,male,France
80,"Comedy, Drama, Romance",712,Four Weddings and a Funeral,6.6,654.0,1994,male,United Kingdom
81,"Drama, History",1689,Little Buddha,6.0,76.0,1993,male,France
82,"Comedy, Drama",52038,A Man of No Importance,6.5,2.0,1994,male,United Kingdom
83,"Science Fiction, Animation",18242,The Secret Adventures of Tom Thumb,7.1,8.0,1993,male,United Kingdom
84,"Comedy, Drama, Fantasy",46924,Being Human,5.0,15.0,1994,male,Japan
85,"Action, Drama, Adventure, Family",14522,Black Beauty,6.6,68.0,1994,female,United Kingdom
86,"Action, Adventure, Thriller",9350,Cliffhanger,6.1,600.0,1993,male,France
87,Drama,10997,Farewell My Concubine,7.8,98.0,1993,male,China
88,Comedy,20239,Fear of a Black Hat,5.8,11.0,1994,male,United Kingdom
89,"Comedy, Romance, Thriller, Foreign, Mystery",25440,Widows' Peak,4.3,3.0,1994,male,Ireland
90,"Drama, Crime, Thriller",13815,Fresh,7.6,56.0,1994,male,France
91,"Action, Drama, Thriller",2087,The Getaway,5.4,81.0,1994,male,Japan
92,"Comedy, Drama",41006,A Good Man in Africa,5.2,11.0,1994,male,South Africa
93,"Action, Drama, History, War",31642,Heaven & Earth,6.4,51.0,1993,male,France
94,"Comedy, Drama, Romance",10612,The Englishman Who Went Up a Hill But Came Down a Mountain,6.1,83.0,1995,male,United Kingdom
95,"Drama, Romance",2259,The House of the Spirits,6.7,135.0,1993,male,Denmark
96,Drama,7984,In the Name of the Father,7.6,363.0,1993,male,United Kingdom
97,"Action, Crime, Thriller",6,Judgment Night,6.4,79.0,1993,male,Japan
98,"Action, Drama, Crime, Thriller",507,Killing Zoe,6.1,111.0,1993,male,France
99,Comedy,12121,Made in America,5.3,86.0,1993,male,France
100,"Drama, Romance",5879,In the Realm of the Senses,6.5,112.0,1976,male,Japan
101,"Comedy, Drama, Romance",11971,Much Ado About Nothing,7.2,194.0,1993,male,United Kingdom
102,"Comedy, Drama",21450,Naked,7.5,105.0,1993,male,United Kingdom
103,"Drama, Romance, Fantasy",9300,Orlando,6.7,53.0,1992,female,United Kingdom
104,"Drama, Romance",713,The Piano,7.1,290.0,1993,female,New Zealand
105,"Drama, Romance",1245,The Remains of the Day,7.5,213.0,1993,male,United Kingdom
106,"Comedy, War",11858,Renaissance Man,5.9,83.0,1994,female,Canada
107,Comedy,8005,Robin Hood: Men in Tights,6.4,575.0,1993,male,France
108,"Action, Drama, Crime, Thriller",2088,Romeo Is Bleeding,5.7,36.0,1993,male,United Kingdom
109,"Action, Drama, Thriller",10412,Romper Stomper,6.6,126.0,1992,male,Australia
110,Drama,41878,Savage Nights,6.2,11.0,1992,male,France
111,Drama,103413,Second Best,5.9,8.0,1994,male,United Kingdom
112,"Drama, Romance",10445,Shadowlands,6.8,61.0,1993,male,United Kingdom
113,"Comedy, Drama",12519,Sirens,5.2,31.0,1993,male,Australia
114,"Drama, Music",20967,Thirty Two Short Films About Glenn Gould,7.4,9.0,1993,male,Finland
115,"Comedy, Action, Adventure",10057,The Three Musketeers,6.2,219.0,1993,male,United States of America
116,"Drama, Romance, Thriller",85247,Killer,3.0,2.0,1994,male,United Kingdom
117,"Drama, Romance",51980,Germinal,6.3,43.0,1993,male,Belgium
