genres,id,original_language,overview,popularity,production_countries,title,vote_average,vote_count,year,director
"Comedy, Romance",11860,English,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.677277,"Germany, United States of America",Sabrina,6.2,141.0,1995,Sydney Pollack
"Comedy, Horror",12110,English,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",5.430331,"France, United States of America",Dracula: Dead and Loving It,5.7,210.0,1995,Mel Brooks
"Action, Adventure",1408,English,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,"Germany, France, Italy, United States of America",Cutthroat Island,5.7,137.0,1995,Renny Harlin
"Drama, Crime",524,English,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,"France, United States of America",Casino,7.8,1343.0,1995,Martin Scorsese
"Drama, Romance",4584,English,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,"United Kingdom, United States of America",Sense and Sensibility,7.2,364.0,1995,Ang Lee
"Action, Crime, Adventure, Thriller",9691,English,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",11.065939,"France, United States of America",Assassins,6.0,394.0,1995,Richard Donner
Drama,16420,English,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,1.845899,Italy,Othello,7.0,33.0,1995,Oliver Parker
"Drama, Romance",17015,English,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",2.228434,"France, United Kingdom",Persuasion,7.4,36.0,1995,Roger Michell
"Adventure, Fantasy, Science Fiction",902,French,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,"Germany, France, Spain",The City of Lost Children,7.6,308.0,1995,Jean-Pierre Jeunet
"Drama, Crime",37557,Chinese,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,1.100915,"France, China",Shanghai Triad,6.5,17.0,1995,Zhang Yimou
"Drama, Romance, History",47018,English,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",1.493361,"France, United Kingdom",Carrington,6.4,16.0,1995,Christopher Hampton
Drama,687,English,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,6.891317,"United Kingdom, United States of America",Dead Man Walking,7.3,350.0,1995,Tim Robbins
"Drama, War",31174,English,Shakespeare's Play transplanted into a 1930s setting.,4.561387,"United Kingdom, United States of America",Richard III,6.9,50.0,1995,Richard Loncraine
"Drama, Foreign",49133,Italian,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",1.361286,"France, Italy, Switzerland",Lamerica,7.7,11.0,1994,Gianni Amelio
Drama,97406,English,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",4.093443,"France, United States of America",Georgia,6.1,15.0,1995,Ulu Grosbard
"Comedy, Drama, Romance",11010,Italian,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,10.168437,"France, Italy, Belgium",The Postman,7.6,181.0,1994,Michael Radford
